Year,Month,Month_Numeric,Day,Date,Hour,Minute,All_Trains,Feeding_Trains,NonFeeding_Trains,Outlier_Trains,Vessel_Total,Type_FV,Type_F,Type_MVS,Type_ST,Type_T,Type_MVL,Type_SB,Activity_Transit,Activity_Fishing,Activity_Work,Activity_Stopped,Direct_North,Direct_South,Direct_NA
2016,August,8,10,2016-8-10,13,40,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,0,0
2016,August,8,10,2016-8-10,13,41,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,4,0,0
2016,August,8,10,2016-8-10,13,42,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,4,0,0
2016,August,8,10,2016-8-10,13,43,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,4,0,0
2016,August,8,10,2016-8-10,13,44,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,13,45,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,2,0,0
2016,August,8,10,2016-8-10,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,13,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,3,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,2,0,0
2016,August,8,10,2016-8-10,14,4,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,2,0,0
2016,August,8,10,2016-8-10,14,5,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,2,0,0
2016,August,8,10,2016-8-10,14,6,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,7,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,8,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,11,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2016,August,8,10,2016-8-10,14,12,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,1,1,0
2016,August,8,10,2016-8-10,14,13,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,1,1,0
2016,August,8,10,2016-8-10,14,14,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,1,1,0
2016,August,8,10,2016-8-10,14,15,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2016,August,8,10,2016-8-10,14,16,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2016,August,8,10,2016-8-10,14,17,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2016,August,8,10,2016-8-10,14,18,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2016,August,8,10,2016-8-10,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,28,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,29,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,30,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,31,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,35,3,0,3,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,36,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,37,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,38,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016,August,8,10,2016-8-10,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,42,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,August,8,10,2016-8-10,14,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
