Month,DPM_sum2020,HoursYear2020,DPM_perH_2020,Vessels_2020,Tugs_2020,Speed_Med_2020,Speed_Fast_2020,DPM_sum2021,HoursYear2021,DPM_perH_2021,Vessels_2021,Tugs_2021,Speed_Med_2021,Speed_Fast_2021,DPM_sum2022,HoursYear2022,DPM_perH_2022,Vessels_2022,Tugs_2022,Speed_Med_2022,Speed_Fast_2022
1,20,744,0.027,113,43,86,24,962,744,1.293,389,133,231,146,176,744,0.237,332,94,203,133
2,198,696,0.284,383,105,283,99,384,672,0.571,372,129,228,133,30,672,0.045,291,89,152,131
3,355,744,0.477,333,134,229,98,655,672,0.975,407,143,173,203,312,744,0.419,418,110,284,126
4,1115,720,1.549,353,137,291,88,2376,720,3.3,444,113,220,198,561,720,0.779,330,109,239,98
5,4408,744,5.925,337,137,257,75,3744,744,5.032,548,143,335,172,964,744,1.296,134,37,91,37
6,2086,720,2.897,366,155,215,131,1119,720,1.554,377,108,289,103,NA,NA,NA,NA,NA,NA,NA
7,1340,744,1.801,372,131,262,114,605,744,0.813,407,124,228,148,NA,NA,NA,NA,NA,NA,NA
8,137,744,0.184,NA,NA,NA,NA,369,216,1.708,401,103,262,141,NA,NA,NA,NA,NA,NA,NA
9,285,720,0.396,411,161,269,127,250,720,0.347,435,114,281,144,NA,NA,NA,NA,NA,NA,NA
10,617,744,0.829,525,231,295,213,478,744,0.642,428,113,256,132,NA,NA,NA,NA,NA,NA,NA
11,1855,720,2.576,419,175,191,206,168,720,0.233,389,108,268,108,NA,NA,NA,NA,NA,NA,NA
12,1059,744,1.423,393,143,232,141,366,645,0.567,427,126,239,172,NA,NA,NA,NA,NA,NA,NA
