Year,Month,Month_Numeric,Day,Date,Hour,All_Trains,All_Minutes,Feeding_Trains,Feeding_Minutes,NonFeeding_Trains,NonFeeding_Minutes,EL_type,Outlier_Trains,Outlier_Minutes,Index,Vessel_Total,Vessel_Tanker,Vessel_Cargo,Vessel_Fishing,Vessel_Tug,Vessel_Towing,Vessel_Towing-Large,Vessel_Law,Vessel_Pilot,Vessel_Pleasure,Vessel_Passenger,Vessel_Passenger-Reserved,Vessel_SAR,Vessel_Anti-pollution,Vessel_Spare-Local,Vessel_Military,Vessel_Reserved,Vessel_Reserved for future use,Vessel_Other,Vessel_Unknown,Speed_Slow,Speed_Med,Speed_Fast
2020,January,1,24,2020-1-24,4,0,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,24,2020-1-24,5,0,0,0,0,0,0,None,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2020,January,1,24,2020-1-24,6,0,0,0,0,0,0,None,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,24,2020-1-24,7,0,0,0,0,0,0,None,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,24,2020-1-24,8,0,0,0,0,0,0,None,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020,January,1,24,2020-1-24,12,0,0,0,0,0,0,None,0,0,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,24,2020-1-24,13,0,0,0,0,0,0,None,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,24,2020-1-24,14,9,4,0,0,9,4,Non-feeding,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020,January,1,24,2020-1-24,15,2,1,0,0,2,1,Non-feeding,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,January,1,24,2020-1-24,16,4,2,0,0,4,2,Non-feeding,0,0,8,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,January,1,24,2020-1-24,18,0,0,0,0,0,0,None,0,0,9,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,January,1,24,2020-1-24,19,8,3,0,0,8,3,Non-feeding,0,0,10,5,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,24,2020-1-24,20,0,0,0,0,0,0,None,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,24,2020-1-24,21,0,0,0,0,0,0,None,0,0,12,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
2020,January,1,24,2020-1-24,22,0,0,0,0,0,0,None,0,0,13,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2020,January,1,25,2020-1-25,0,0,0,0,0,0,0,None,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2020,January,1,25,2020-1-25,1,0,0,0,0,0,0,None,0,0,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,25,2020-1-25,2,0,0,0,0,0,0,None,0,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020,January,1,25,2020-1-25,4,0,0,0,0,0,0,None,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2020,January,1,25,2020-1-25,5,0,0,0,0,0,0,None,0,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,25,2020-1-25,8,1,1,0,0,1,1,Non-feeding,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,January,1,25,2020-1-25,10,2,1,0,0,2,1,Non-feeding,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,January,1,25,2020-1-25,11,1,1,0,0,1,1,Non-feeding,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,January,1,25,2020-1-25,13,12,3,0,0,12,3,Non-feeding,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,January,1,25,2020-1-25,14,8,4,0,0,8,4,Non-feeding,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,January,1,25,2020-1-25,16,3,1,0,0,3,1,Non-feeding,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,January,1,25,2020-1-25,17,0,0,0,0,0,0,None,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2020,January,1,25,2020-1-25,19,0,0,0,0,0,0,None,0,0,20,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,25,2020-1-25,20,1,1,1,1,0,0,Feeding,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,January,1,25,2020-1-25,21,0,0,0,0,0,0,None,0,0,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,January,1,26,2020-1-26,0,2,2,0,0,0,0,None,0,0,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,January,1,26,2020-1-26,1,0,0,0,0,0,0,None,0,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
